Date,Time,Country,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,Country_League,ROUND,Liga
19.08.2023,13:00,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,African Stars (Nam),Power Dynamos (Zam),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,13:00,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,APR (Rwa),Gaadiidka (Som),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,14:00,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,Real Bamako (Mli),Cotonsport (Cmr),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,14:30,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,Centre Sportif Bendje (Gab),Bumamuru (Bur),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,16:00,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,Bo Rangers (Sie),LISCR FC (Lbr),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,18:00,AFRICA,CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,Wau Salaam (Ssu),Al-Hilal Omdurman (Sud),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,AFRICA - CAF CHAMPIONS LEAGUE
19.08.2023,12:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Kakamega Homeboyz (Ken),Al Hilal Benghazi (Lby),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,12:30,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Haidob Al Nuhod (Sud),Al Merreikh Juba (Ssu),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,13:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Ferroviario Maputo (Moz),Belle Lumiere (Com),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,13:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Sekhukhune (Rsa),Young Buffaloes (Esw),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,15:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Bendel (Nga),ASO Chlef (Alg),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,15:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Cano Sport (Gnq),FC Muza (Zam),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,15:30,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Douanes Niamey (Nig),Kallon (Sie),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,16:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,ASC Kara (Tog),Academie de FAD (Ivo),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,16:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Milo FC (Gui),Dreams (Gha),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,17:00,AFRICA,CAF CONFEDERATION CUP - QUALIFICATION - SEMI-FINALS,Douane (Mrt),SOAR (Gui),"2,55","3,4","2,75","1,85",2,"1,67","2,1",AFRICA - CAF CONFEDERATION CUP - QUALIFICATION,QUALIFICATION,AFRICA - CAF CONFEDERATION CUP
19.08.2023,00:00,ARGENTINA,COPA DE LA LIGA PROFESIONAL - ROUND 1,Boca Juniors,Platense,"1,8","3,3","4,75","2,88","1,4","2,5","1,5",ARGENTINA - COPA DE LA LIGA PROFESIONAL,COPA DE LA LIGA PROFESIONAL,ARGENTINA
19.08.2023,19:30,ARGENTINA,COPA DE LA LIGA PROFESIONAL - ROUND 1,Independiente,Colon Santa Fe,"2,05","3,1",4,"2,7","1,44","2,25","1,57",ARGENTINA - COPA DE LA LIGA PROFESIONAL,COPA DE LA LIGA PROFESIONAL,ARGENTINA
19.08.2023,22:00,ARGENTINA,COPA DE LA LIGA PROFESIONAL - ROUND 1,Gimnasia L.P.,Talleres Cordoba,"3,5","3,5","2,05","2,3","1,6",2,"1,73",ARGENTINA - COPA DE LA LIGA PROFESIONAL,COPA DE LA LIGA PROFESIONAL,ARGENTINA
19.08.2023,18:00,ARGENTINA,PRIMERA NACIONAL - ROUND 26,Brown Adrogue,Deportivo Madryn,"2,25","2,75",4,"2,88","1,4","2,25","1,57",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,18:00,ARGENTINA,PRIMERA NACIONAL - ROUND 26,CA Estudiantes,Atl. Rafaela,"2,38","3,1","3,2","2,5","1,5","2,1","1,67",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,18:00,ARGENTINA,PRIMERA NACIONAL - ROUND 26,Tristan Suarez,Aldosivi,"2,1","3,6","3,3","2,15","1,67","1,91","1,8",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,19:00,ARGENTINA,PRIMERA NACIONAL - ROUND 26,Atletico Atlanta,Chacarita Juniors,"3,3","3,1","2,3","2,5","1,5","2,1","1,67",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,22:10,ARGENTINA,PRIMERA NACIONAL - ROUND 26,Ferro,Ind. Rivadavia,"2,7","3,2","2,7","2,35","1,57",2,"1,73",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,23:00,ARGENTINA,PRIMERA NACIONAL - ROUND 26,Quilmes,Villa Dalmine,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARGENTINA - PRIMERA NACIONAL,PRIMERA NACIONAL,ARGENTINA
19.08.2023,19:00,ARGENTINA,TORNEO FEDERAL - ROUND 26,Crucero del Norte,Sarmiento Resistencia,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARGENTINA - TORNEO FEDERAL,TORNEO FEDERAL,ARGENTINA
19.08.2023,19:00,ARGENTINA,TORNEO FEDERAL - ROUND 26,Union Sunchales,Defensores Belgrano VR,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARGENTINA - TORNEO FEDERAL,TORNEO FEDERAL,ARGENTINA
19.08.2023,22:00,ARGENTINA,TORNEO FEDERAL - ROUND 26,Santamarina,Olimpo Bahia Blanca,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARGENTINA - TORNEO FEDERAL,TORNEO FEDERAL,ARGENTINA
19.08.2023,13:00,ARMENIA,PREMIER LEAGUE - ROUND 4,Van,Ararat Yerevan,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARMENIA - PREMIER LEAGUE,PREMIER LEAGUE,ARMENIA
19.08.2023,15:00,ARMENIA,PREMIER LEAGUE - ROUND 4,BKMA,Alashkert,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ARMENIA - PREMIER LEAGUE,PREMIER LEAGUE,ARMENIA
19.08.2023,09:00,ASIA,AFF CHAMPIONSHIP U23 - ROUND 2,Myanmar U23,Cambodia U23,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ASIA - AFF CHAMPIONSHIP U23,AFF CHAMPIONSHIP U23,ASIA
19.08.2023,13:00,ASIA,AFF CHAMPIONSHIP U23 - ROUND 2,Brunei U23,Thailand U23,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",ASIA - AFF CHAMPIONSHIP U23,AFF CHAMPIONSHIP U23,ASIA
19.08.2023,04:00,AUSTRALIA,NPL ACT - ROUND 19,West Canberra Wanderers,Tuggeranong Utd,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL ACT,NPL ACT,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL ACT - ROUND 19,Canberra Olympic,Tigers FC,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL ACT,NPL ACT,AUSTRALIA
