League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Brazil Serie B,2023-08-17,19:00:00,24,Londrina,Atlético GO,2.8,3.1,2.6,1.1,6.5,1.44,2.62,2.3,1.55,1.51,2.37,1.98,1.72,1.44,1.36,1.43,1.27,1.0,1.27,1.27,2.54,1.95,8.5,2.1,1.15,1.25,1.46,1.85,2.3
Argentina Primera División,2023-08-17,19:30:00,1,Belgrano,Estudiantes,2.8,3.2,2.45,1.08,6.15,1.57,2.43,2.7,1.44,1.62,2.2,2.25,1.57,1.49,1.37,1.42,1.69,1.46,1.34,1.46,2.8,2.05,8.7,2.04,0.0,1.66,2.03,2.69,0.0
Brazil Serie B,2023-08-17,21:30:00,24,Vila Nova,Mirassol,2.25,3.2,3.25,1.11,6.5,1.54,2.32,2.75,1.4,1.58,2.2,2.25,1.57,1.3,1.36,1.61,2.0,1.27,1.91,1.35,3.26,1.64,8.5,2.66,1.2,1.32,1.57,1.98,2.65
